--------------------
BDMEP - INMET
--------------------
Estação           : CRUZ ALTA - RS (OMM: 83912)
Latitude  (graus) : -28.63
Longitude (graus) : -53.6
Altitude  (metros): 472.50
Estação Operante
Inicio de operação: 02/02/1912
Periodo solicitado dos dados: 01/01/1961 a 19/09/2012
Os dados listados abaixo são os que encontram-se digitados no BDMEP
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;Precipitacao;TempBulboSeco;TempBulboUmido;TempMaxima;TempMinima;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoInsolacao;
83912;01/01/1961;0000;;;;31.4;;;;;;;
83912;01/01/1961;1200;;23.4;20.8;;17.6;78;949.2;14;3;;
83912;01/01/1961;1800;;30.2;23;;;53;947.1;32;1;;
83912;02/01/1961;0000;;29;22;32.8;;53;949;0;0;;
83912;02/01/1961;1200;0;24.4;21.4;;19.8;75;950.4;5;1;;
83912;02/01/1961;1800;;31.6;22.6;;;45;949.8;23;3;;
83912;03/01/1961;0000;;25;22;32.4;;76;951.4;0;0;;
83912;03/01/1961;1200;0;25.8;21.2;;19;65;952.3;5;3;;
83912;03/01/1961;1800;;29;23.2;;;60;948.7;14;5;;
83912;04/01/1961;0000;;20.4;15.6;28.4;;59;954.2;14;3;;
83912;04/01/1961;1200;63;20.2;18;;15.4;79;953.1;14;3;;
83912;04/01/1961;1800;;27.8;19.8;;;46;952.4;14;3;;
83912;05/01/1961;0000;;24.8;18;31.6;;49;952.4;0;0;;
83912;05/01/1961;1200;0;24;20;;16.4;69;952;5;1;;
83912;05/01/1961;1800;;31;22;;;44;949.6;5;3;;
83912;06/01/1961;0000;;27.6;21;27.8;;54;949.6;0;0;;
83912;06/01/1961;1200;21;19;18.2;;17;92;949.4;23;3;;
83912;06/01/1961;1800;;24.8;19.6;;;61;950.4;23;3;;
83912;07/01/1961;0000;;22.6;18.4;29;;66;953.2;0;0;;
83912;07/01/1961;1200;1.5;21;17.6;;16;71;956.7;5;1;;
83912;07/01/1961;1800;;26.8;18.8;;;45;956.7;5;1;;
83912;08/01/1961;0000;;25;18;31.4;;48;953.9;0;0;;
83912;08/01/1961;1200;0;24.4;20;;16.2;66;956;5;3;;
83912;08/01/1961;1800;;30;21;;;43;954.3;5;3;;
83912;09/01/1961;0000;;28.2;21.2;32.2;;52;953;0;0;;
83912;09/01/1961;1200;0;25.6;21.4;;21;68;955.6;5;3;;
83912;09/01/1961;1800;;31;23.4;;;51;952.7;5;3;;
83912;10/01/1961;0000;;28.4;22.8;28.4;;61;950;0;0;;
83912;10/01/1961;1200;0;23.8;21.6;;18.4;82;952.8;5;3;;
83912;10/01/1961;1800;;21.2;19.4;;;83;959.4;5;3;;
83912;11/01/1961;0000;;24.2;20.6;29.6;;72;955.8;5;2;;
83912;11/01/1961;1200;36.8;22;19.2;;17.4;76;957.9;5;3;;
83912;11/01/1961;1800;;28.8;22;;;54;956.2;14;3;;
83912;12/01/1961;0000;;25.2;19.6;33.6;;59;956.2;0;0;;
83912;12/01/1961;1200;0;25;21.2;;16.8;71;955.8;5;3;;
83912;12/01/1961;1800;;32.2;23;;;44;954.2;32;3;;
83912;13/01/1961;0000;;28.8;22;35.2;;54;954.3;0;0;;
